Neuron_number,Layers_number,Dropout_rate,LearningRate,Neuron_number_change,Loss,Accuracy
4,1,0.1,0.1,flat,0.4780331254005432,0.9444444179534912
4,1,0.1,0.15,flat,0.2643844783306122,1.0
4,1,0.1,0.2,flat,0.0038042350206524134,1.0
4,1,0.2,0.05,flat,0.700292706489563,0.8333333134651184
4,1,0.2,0.1,flat,0.5711007714271545,0.9444444179534912
4,1,0.2,0.15,flat,0.08033791929483414,1.0
4,1,0.2,0.2,flat,0.15576066076755524,0.9444444179534912
4,1,0.3,0.05,flat,0.3587515354156494,1.0
4,1,0.3,0.1,flat,0.2608069181442261,1.0
4,1,0.3,0.15,flat,0.24350865185260773,0.9444444179534912
4,1,0.3,0.2,flat,0.8206368684768677,0.5
5,1,0.1,0.05,flat,0.17245759069919586,1.0
5,1,0.1,0.1,flat,0.19359788298606873,1.0
5,1,0.1,0.15,flat,0.11328911781311035,0.9444444179534912
5,1,0.1,0.2,flat,0.18374034762382507,1.0
5,1,0.2,0.05,flat,0.38208630681037903,0.9444444179534912
5,1,0.2,0.1,flat,0.17152531445026398,0.9444444179534912
5,1,0.2,0.15,flat,0.28228631615638733,1.0
5,1,0.2,0.2,flat,0.2348395138978958,0.8888888955116272
5,1,0.3,0.05,flat,0.6608982086181641,0.9444444179534912
5,1,0.3,0.1,flat,0.09089427441358566,1.0
5,1,0.3,0.15,flat,0.26672813296318054,1.0
5,1,0.3,0.2,flat,0.1292504370212555,1.0
6,1,0.1,0.05,flat,0.593724250793457,0.8888888955116272
6,1,0.1,0.1,flat,0.11633703112602234,1.0
6,1,0.1,0.15,flat,0.06995508074760437,1.0
6,1,0.1,0.2,flat,0.030431151390075684,1.0
6,1,0.2,0.05,flat,0.4229840338230133,1.0
6,1,0.2,0.1,flat,0.1296655684709549,1.0
6,1,0.2,0.15,flat,0.14547593891620636,0.9444444179534912
6,1,0.2,0.2,flat,0.07879969477653503,1.0
6,1,0.3,0.05,flat,0.4589296877384186,0.9444444179534912
6,1,0.3,0.1,flat,0.281582772731781,1.0
6,1,0.3,0.15,flat,0.3851065933704376,1.0
6,1,0.3,0.2,flat,0.5255732536315918,0.7777777910232544
7,1,0.1,0.05,flat,0.4233374297618866,1.0
7,1,0.1,0.1,flat,0.2384570986032486,0.8888888955116272
7,1,0.1,0.15,flat,0.012911170721054077,1.0
